0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:33:18 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:33:19 -0600] "POST /Project1/welcome/login HTTP/1.1" 211 155
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:33:20 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:35:41 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:35:52 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:38:03 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:38:11 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:38:17 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:39:33 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:39:39 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:40:21 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:40:27 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:40:37 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:40:44 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:44:23 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:44:29 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:45:20 -0600] "GET /Project1/home HTTP/1.1" 200 2028
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:54:44 -0600] "OPTIONS /Project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:54:44 -0600] "GET /Project1/logout HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:54:50 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:54:51 -0600] "POST /Project1/welcome/login HTTP/1.1" 500 4
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:54:55 -0600] "OPTIONS /Project1/welcome/login HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:54:56 -0600] "POST /Project1/welcome/login HTTP/1.1" 210 147
0:0:0:0:0:0:0:1 - - [14/Nov/2018:16:54:57 -0600] "GET /Project1/admin HTTP/1.1" 200 6367
